id,prompt,svg
golden_anchor_47,"<|im_start|>system
You are an expert SVG code generator. Your task is to generate clean, strictly valid, and standalone SVG code based on the user's text description.

You MUST adhere to the following strict rules:
1. STRICT OUTPUT: Output ONLY the raw SVG code. No markdown formatting (no ```xml), no HTML wrappers, and no conversational text.
2. THE CANVAS RULE: Always use exactly <svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'>.
3. THE ADAPTIVE KISS PRINCIPLE: For basic shapes, you MUST use primitives (<rect>, <circle>, <ellipse>, <line>, <polygon>, <polyline>). For complex/natural objects, use optimized <path> elements. ANTI-HALLUCINATION: NEVER invent non-existent tags like <triangle>, <square>, <star>, <curve>, <arc>, <background>, or <layer>. Use valid SVG alternatives (e.g., <polygon>, <rect>, <path>, <g>).
4. DRAWING ORDER: Render elements from back to front.
5. STYLE & COLOR: Use direct presentation attributes ONLY (e.g., fill='black').
6. SECURITY & VALIDITY: Ensure all tags are properly closed. Use single quotes for all attributes.<|im_end|>
<|im_start|>user
Draw a geometric rgb(179,149,8) five-sided polygon in the middle.<|im_end|>
<|im_start|>assistant
","<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'><polygon points='100,30 165,75 140,150 60,150 35,75' fill='rgb(179,149,8)'/></svg><|im_end|>"
991aa5a38c10c1243d8322a9a7c21189,"<|im_start|>system
You are an expert SVG code generator. Your task is to generate clean, strictly valid, and standalone SVG code based on the user's text description.

You MUST adhere to the following strict rules:
1. STRICT OUTPUT: Output ONLY the raw SVG code. No markdown formatting (no ```xml), no HTML wrappers, and no conversational text.
2. THE CANVAS RULE: Always use exactly <svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'>.
3. THE ADAPTIVE KISS PRINCIPLE: For basic shapes, you MUST use primitives (<rect>, <circle>, <ellipse>, <line>, <polygon>, <polyline>). For complex/natural objects, use optimized <path> elements. ANTI-HALLUCINATION: NEVER invent non-existent tags like <triangle>, <square>, <star>, <curve>, <arc>, <background>, or <layer>. Use valid SVG alternatives (e.g., <polygon>, <rect>, <path>, <g>).
4. DRAWING ORDER: Render elements from back to front.
5. STYLE & COLOR: Use direct presentation attributes ONLY (e.g., fill='black').
6. SECURITY & VALIDITY: Ensure all tags are properly closed. Use single quotes for all attributes.<|im_end|>
<|im_start|>user
A simple line drawing of a briefcase with a handle.<|im_end|>
<|im_start|>assistant
",<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'><path fill='#445365' fill-opacity='1' filling='0' d='M100.12 126 A30 30 0 0 1 70.12 96 A7.62 7.62 0 0 1 85.25 96 A14.88 14.88 0 1 0 115 96 A7.62 7.62 0 0 1 130.12 96 A30 30 0 0 1 100.12 126 Z'></path> <path fill='#445365' fill-opacity='1' filling='0' d='M181.25 69.25 A22 22 0 0 0 158.25 50 L145 50 L145 37.5 A25 25 0 0 0 120.62 12.5 L79.25 12.5 A25 25 0 0 0 54.88 37.5 L54.88 50 L42.38 50 A22 22 0 0 0 18.75 69.25 L14.12 166.12 A19.12 19.12 0 0 0 19.62 180.25 A24 24 0 0 0 37.62 187.5 L162.62 187.5 A24.12 24.12 0 0 0 180.25 180.25 A19.12 19.12 0 0 0 185.75 166.12 L181.25 69.25 Z M69.88 37.5 A9.5 9.5 0 0 1 79.25 28.12 L120.62 28.12 A9.5 9.5 0 0 1 130 37.5 L130 50 L69.88 50 L69.88 37.5 Z M41.75 64.62 L158.25 64.62 C162.88 64.62 166.12 67.38 166.25 69.88 L167.12 88.5 L32.88 88.5 L33.75 69.88 C33.88 67.38 37.62 64.62 41.75 64.62 Z M169.5 169.88 A9.12 9.12 0 0 1 162.88 172.5 L37.62 172.5 A9.12 9.12 0 0 1 31 169.88 A4 4 0 0 1 29.62 166.88 L32.62 103.62 L167.88 103.62 L170.88 166.88 A3.62 3.62 0 0 1 169.5 169.88 Z'></path></svg><|im_end|>
75425fa658e4487d79701a313b968069,"<|im_start|>system
You are an expert SVG code generator. Your task is to generate clean, strictly valid, and standalone SVG code based on the user's text description.

You MUST adhere to the following strict rules:
1. STRICT OUTPUT: Output ONLY the raw SVG code. No markdown formatting (no ```xml), no HTML wrappers, and no conversational text.
2. THE CANVAS RULE: Always use exactly <svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'>.
3. THE ADAPTIVE KISS PRINCIPLE: For basic shapes, you MUST use primitives (<rect>, <circle>, <ellipse>, <line>, <polygon>, <polyline>). For complex/natural objects, use optimized <path> elements. ANTI-HALLUCINATION: NEVER invent non-existent tags like <triangle>, <square>, <star>, <curve>, <arc>, <background>, or <layer>. Use valid SVG alternatives (e.g., <polygon>, <rect>, <path>, <g>).
4. DRAWING ORDER: Render elements from back to front.
5. STYLE & COLOR: Use direct presentation attributes ONLY (e.g., fill='black').
6. SECURITY & VALIDITY: Ensure all tags are properly closed. Use single quotes for all attributes.<|im_end|>
<|im_start|>user
The image contains a black router-like device with three vertical antennas at the top and a green horizontal rectangular light indicator near the bottom center.<|im_end|>
<|im_start|>assistant
",<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'><path fill='#00C97C' fill-opacity='1' filling='0' d='M36.67 120 L93.33 120 L93.33 133.33 L36.67 133.33 L36.67 120 Z'></path> <path fill='#191919' fill-opacity='1' filling='0' d='M23.33 156.67 L43.33 156.67 L43.33 170 L23.33 170 L23.33 156.67 Z M156.67 156.67 L176.67 156.67 L176.67 170 L156.67 170 L156.67 156.67 Z M103.33 30 L116.67 30 L116.67 93.33 L103.33 93.33 L103.33 30 Z M140 30 L153.33 30 L153.33 96.67 L140 96.67 L140 30 Z M27.31 39.53 L39.24 33.57 L69.2 93.5 L57.28 99.46 L27.31 39.53 Z'></path> <path fill='#191919' fill-opacity='1' filling='0' d='M193.33 163.33 L6.67 163.33 L6.67 90 L193.33 90 L193.33 163.33 Z M20 150 L180 150 L180 103.33 L20 103.33 L20 150 Z'></path></svg><|im_end|>
196d312b322fd9b809f33fb616838b1c,"<|im_start|>system
You are an expert SVG code generator. Your task is to generate clean, strictly valid, and standalone SVG code based on the user's text description.

You MUST adhere to the following strict rules:
1. STRICT OUTPUT: Output ONLY the raw SVG code. No markdown formatting (no ```xml), no HTML wrappers, and no conversational text.
2. THE CANVAS RULE: Always use exactly <svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'>.
3. THE ADAPTIVE KISS PRINCIPLE: For basic shapes, you MUST use primitives (<rect>, <circle>, <ellipse>, <line>, <polygon>, <polyline>). For complex/natural objects, use optimized <path> elements. ANTI-HALLUCINATION: NEVER invent non-existent tags like <triangle>, <square>, <star>, <curve>, <arc>, <background>, or <layer>. Use valid SVG alternatives (e.g., <polygon>, <rect>, <path>, <g>).
4. DRAWING ORDER: Render elements from back to front.
5. STYLE & COLOR: Use direct presentation attributes ONLY (e.g., fill='black').
6. SECURITY & VALIDITY: Ensure all tags are properly closed. Use single quotes for all attributes.<|im_end|>
<|im_start|>user
A black upward arrow inside a circular frame.<|im_end|>
<|im_start|>assistant
",<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'><path fill='#040000' fill-opacity='1' filling='0' d='M106.25 187.5 C157.5 187.5 200 145 200 93.75 C200 42.5 157.5 0 106.25 0 C55 0 12.5 42.5 12.5 93.75 C12.5 145 55 187.5 106.25 187.5 Z M106.25 175 C61.25 175 25 138.75 25 93.75 C25 48.75 61.25 12.5 106.25 12.5 C151.25 12.5 187.5 48.75 187.5 93.75 C187.5 138.75 151.25 175 106.25 175 Z'></path> <path fill='currentColor' fill-opacity='1' filling='0' d='M106.25 137.5 C110 137.5 112.5 135 112.5 131.25 L112.5 71.25 L126.25 86.25 C128.75 87.5 133.75 87.5 136.25 86.25 C137.5 85 137.5 82.5 137.5 81.25 C137.5 80 137.5 77.5 136.25 76.25 L111.25 51.25 C110 51.25 110 50 108.75 50 L103.75 50 C102.5 50 101.25 51.25 101.25 51.25 L76.25 76.25 C75 78.75 73.75 85 76.25 86.25 C78.75 87.5 83.75 87.5 86.25 85 L100 71.25 L100 131.25 C100 135 102.5 137.5 106.25 137.5 Z'></path></svg><|im_end|>
9b4be696cc3e7f562b8ff645cedc470a,"<|im_start|>system
You are an expert SVG code generator. Your task is to generate clean, strictly valid, and standalone SVG code based on the user's text description.

You MUST adhere to the following strict rules:
1. STRICT OUTPUT: Output ONLY the raw SVG code. No markdown formatting (no ```xml), no HTML wrappers, and no conversational text.
2. THE CANVAS RULE: Always use exactly <svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'>.
3. THE ADAPTIVE KISS PRINCIPLE: For basic shapes, you MUST use primitives (<rect>, <circle>, <ellipse>, <line>, <polygon>, <polyline>). For complex/natural objects, use optimized <path> elements. ANTI-HALLUCINATION: NEVER invent non-existent tags like <triangle>, <square>, <star>, <curve>, <arc>, <background>, or <layer>. Use valid SVG alternatives (e.g., <polygon>, <rect>, <path>, <g>).
4. DRAWING ORDER: Render elements from back to front.
5. STYLE & COLOR: Use direct presentation attributes ONLY (e.g., fill='black').
6. SECURITY & VALIDITY: Ensure all tags are properly closed. Use single quotes for all attributes.<|im_end|>
<|im_start|>user
A blue outlined speech bubble with three teal dots inside it.<|im_end|>
<|im_start|>assistant
",<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'><path fill='#0069F6' fill-opacity='1' filling='0' d='M112.8 156.29 L184.5 156.29 A4.69 4.69 0 0 0 189.19 151.6 L189.19 26.51 A4.69 4.69 0 0 0 184.5 21.82 L15.64 21.82 A4.69 4.69 0 0 0 10.94 26.51 L10.94 151.6 A4.69 4.69 0 0 0 15.64 156.29 L84.2 156.29 L94.31 176.5 A4.69 4.69 0 0 0 102.7 176.5 L112.8 156.29 L112.8 156.29 Z M111.09 180.69 A14.07 14.07 0 0 1 85.92 180.69 L78.4 165.67 L15.64 165.67 A14.07 14.07 0 0 1 1.56 151.6 L1.56 26.51 A14.07 14.07 0 0 1 15.64 12.44 L184.5 12.44 A14.07 14.07 0 0 1 198.57 26.51 L198.57 151.6 A14.07 14.07 0 0 1 184.5 165.67 L118.6 165.67 L111.09 180.69 Z'></path> <path fill='#5ED7BC' fill-opacity='1' filling='0' d='M46.91 92.18 A9.38 9.38 0 1 0 65.67 92.18 A9.38 9.38 0 1 0 46.91 92.18 Z'></path> <path fill='#5ED7BC' fill-opacity='1' filling='0' d='M90.68 92.18 A9.38 9.38 0 1 0 109.45 92.18 A9.38 9.38 0 1 0 90.68 92.18 Z'></path> <path fill='#5ED7BC' fill-opacity='1' filling='0' d='M134.46 92.18 A9.38 9.38 0 1 0 153.23 92.18 A9.38 9.38 0 1 0 134.46 92.18 Z'></path></svg><|im_end|>
golden_anchor_2443,"<|im_start|>system
You are an expert SVG code generator. Your task is to generate clean, strictly valid, and standalone SVG code based on the user's text description.

You MUST adhere to the following strict rules:
1. STRICT OUTPUT: Output ONLY the raw SVG code. No markdown formatting (no ```xml), no HTML wrappers, and no conversational text.
2. THE CANVAS RULE: Always use exactly <svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'>.
3. THE ADAPTIVE KISS PRINCIPLE: For basic shapes, you MUST use primitives (<rect>, <circle>, <ellipse>, <line>, <polygon>, <polyline>). For complex/natural objects, use optimized <path> elements. ANTI-HALLUCINATION: NEVER invent non-existent tags like <triangle>, <square>, <star>, <curve>, <arc>, <background>, or <layer>. Use valid SVG alternatives (e.g., <polygon>, <rect>, <path>, <g>).
4. DRAWING ORDER: Render elements from back to front.
5. STYLE & COLOR: Use direct presentation attributes ONLY (e.g., fill='black').
6. SECURITY & VALIDITY: Ensure all tags are properly closed. Use single quotes for all attributes.<|im_end|>
<|im_start|>user
Can you draw a medium-sized bisque flattened circle placed centrally.<|im_end|>
<|im_start|>assistant
",<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'><ellipse cx='100' cy='100' rx='86' ry='33' fill='bisque'/></svg><|im_end|>
bc597dbf46ec48c390b0b7c7f15102ea,"<|im_start|>system
You are an expert SVG code generator. Your task is to generate clean, strictly valid, and standalone SVG code based on the user's text description.

You MUST adhere to the following strict rules:
1. STRICT OUTPUT: Output ONLY the raw SVG code. No markdown formatting (no ```xml), no HTML wrappers, and no conversational text.
2. THE CANVAS RULE: Always use exactly <svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'>.
3. THE ADAPTIVE KISS PRINCIPLE: For basic shapes, you MUST use primitives (<rect>, <circle>, <ellipse>, <line>, <polygon>, <polyline>). For complex/natural objects, use optimized <path> elements. ANTI-HALLUCINATION: NEVER invent non-existent tags like <triangle>, <square>, <star>, <curve>, <arc>, <background>, or <layer>. Use valid SVG alternatives (e.g., <polygon>, <rect>, <path>, <g>).
4. DRAWING ORDER: Render elements from back to front.
5. STYLE & COLOR: Use direct presentation attributes ONLY (e.g., fill='black').
6. SECURITY & VALIDITY: Ensure all tags are properly closed. Use single quotes for all attributes.<|im_end|>
<|im_start|>user
A simple line drawing of an open folder icon.<|im_end|>
<|im_start|>assistant
",<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'><path fill='#272636' fill-opacity='1' filling='0' d='M181.82 39.99 L104.47 39.99 C99.78 39.99 95.91 36.42 95.43 31.86 C95.42 31.64 95.41 31.43 95.39 31.21 C95.39 31.11 95.38 31 95.38 30.9 L95.38 30.93 L95.36 30.93 C94.45 21.74 86.7 14.57 77.27 14.57 L18.18 14.57 C8.14 14.57 0 22.71 0 32.75 L0 167.25 C0 177.29 8.14 185.43 18.18 185.43 L181.82 185.43 C191.86 185.43 200 177.29 200 167.25 L200 58.17 C200 48.12 191.86 39.99 181.82 39.99 Z M190.91 167.25 C190.91 172.27 186.84 176.34 181.82 176.34 L18.18 176.34 C13.16 176.34 9.09 172.27 9.09 167.25 L9.09 67.26 L190.91 67.26 L190.91 167.25 Z M9.09 58.17 L9.09 32.75 C9.09 27.73 13.16 23.66 18.18 23.66 L77.27 23.66 C81.97 23.66 85.84 27.22 86.31 31.79 C86.32 32.01 86.34 32.22 86.36 32.43 C86.36 32.53 86.36 32.64 86.36 32.75 L86.39 32.75 C87.31 41.92 95.06 49.08 104.47 49.08 L181.82 49.08 C186.84 49.08 190.91 53.15 190.91 58.17 L9.09 58.17 L9.09 58.17 Z'></path></svg><|im_end|>
golden_anchor_2371,"<|im_start|>system
You are an expert SVG code generator. Your task is to generate clean, strictly valid, and standalone SVG code based on the user's text description.

You MUST adhere to the following strict rules:
1. STRICT OUTPUT: Output ONLY the raw SVG code. No markdown formatting (no ```xml), no HTML wrappers, and no conversational text.
2. THE CANVAS RULE: Always use exactly <svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'>.
3. THE ADAPTIVE KISS PRINCIPLE: For basic shapes, you MUST use primitives (<rect>, <circle>, <ellipse>, <line>, <polygon>, <polyline>). For complex/natural objects, use optimized <path> elements. ANTI-HALLUCINATION: NEVER invent non-existent tags like <triangle>, <square>, <star>, <curve>, <arc>, <background>, or <layer>. Use valid SVG alternatives (e.g., <polygon>, <rect>, <path>, <g>).
4. DRAWING ORDER: Render elements from back to front.
5. STYLE & COLOR: Use direct presentation attributes ONLY (e.g., fill='black').
6. SECURITY & VALIDITY: Ensure all tags are properly closed. Use single quotes for all attributes.<|im_end|>
<|im_start|>user
Draw a two overlapping squares. A rgb(49,70,198) square partially covering a slategray square.<|im_end|>
<|im_start|>assistant
","<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'><rect x='60' y='60' width='80' height='80' fill='slategray'/><rect x='90' y='90' width='80' height='80' fill='rgb(49,70,198)'/></svg><|im_end|>"
27cc0e91a4b1f73408083b3a3e623a90,"<|im_start|>system
You are an expert SVG code generator. Your task is to generate clean, strictly valid, and standalone SVG code based on the user's text description.

You MUST adhere to the following strict rules:
1. STRICT OUTPUT: Output ONLY the raw SVG code. No markdown formatting (no ```xml), no HTML wrappers, and no conversational text.
2. THE CANVAS RULE: Always use exactly <svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'>.
3. THE ADAPTIVE KISS PRINCIPLE: For basic shapes, you MUST use primitives (<rect>, <circle>, <ellipse>, <line>, <polygon>, <polyline>). For complex/natural objects, use optimized <path> elements. ANTI-HALLUCINATION: NEVER invent non-existent tags like <triangle>, <square>, <star>, <curve>, <arc>, <background>, or <layer>. Use valid SVG alternatives (e.g., <polygon>, <rect>, <path>, <g>).
4. DRAWING ORDER: Render elements from back to front.
5. STYLE & COLOR: Use direct presentation attributes ONLY (e.g., fill='black').
6. SECURITY & VALIDITY: Ensure all tags are properly closed. Use single quotes for all attributes.<|im_end|>
<|im_start|>user
The image features a dark gray shield-shaped outline containing a solid dark gray checkmark in the center.<|im_end|>
<|im_start|>assistant
",<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'><path fill='#292D32' fill-opacity='1' filling='0' d='M100 189.66 A42.44 42.44 0 0 1 74.83 181.75 L39 155 A46.61 46.61 0 0 1 22.08 121.33 L22.08 59.32 A35 35 0 0 1 43.58 28.32 L85.17 12.74 A43.59 43.59 0 0 1 99.92 10.43 A43.59 43.59 0 0 1 114.67 12.74 L156.25 28.32 A35 35 0 0 1 177.75 59.32 L177.75 121.27 A46.67 46.67 0 0 1 160.83 154.93 L125 181.68 A40.99 40.99 0 0 1 100 189.66 Z M100.12 22.93 A31.88 31.88 0 0 0 89.58 24.5 L48 40.08 A22.84 22.84 0 0 0 34.67 59.42 L34.67 121.33 A34.37 34.37 0 0 0 46.5 144.99 L82.33 171.73 A29.6 29.6 0 0 0 100.01 177.1 A29.88 29.88 0 0 0 117.75 171.73 L153.58 144.98 A34.45 34.45 0 0 0 165.42 121.32 L165.42 59.32 A23.06 23.06 0 0 0 152.08 40 L110.5 24.42 A32.93 32.93 0 0 0 100.12 22.93 Z'></path> <path fill='#292D32' fill-opacity='1' filling='0' d='M84.42 116.76 L71.01 103.33 A6.25 6.25 0 0 1 79.84 94.5 L88.84 103.5 L120.26 72.09 A6.25 6.25 0 0 1 129.09 80.93 L93.26 116.76 A6.23 6.23 0 0 1 84.43 116.76 L84.42 116.76 Z'></path></svg><|im_end|>
26192afcc2b88a7537b9bea71dbd683f,"<|im_start|>system
You are an expert SVG code generator. Your task is to generate clean, strictly valid, and standalone SVG code based on the user's text description.

You MUST adhere to the following strict rules:
1. STRICT OUTPUT: Output ONLY the raw SVG code. No markdown formatting (no ```xml), no HTML wrappers, and no conversational text.
2. THE CANVAS RULE: Always use exactly <svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'>.
3. THE ADAPTIVE KISS PRINCIPLE: For basic shapes, you MUST use primitives (<rect>, <circle>, <ellipse>, <line>, <polygon>, <polyline>). For complex/natural objects, use optimized <path> elements. ANTI-HALLUCINATION: NEVER invent non-existent tags like <triangle>, <square>, <star>, <curve>, <arc>, <background>, or <layer>. Use valid SVG alternatives (e.g., <polygon>, <rect>, <path>, <g>).
4. DRAWING ORDER: Render elements from back to front.
5. STYLE & COLOR: Use direct presentation attributes ONLY (e.g., fill='black').
6. SECURITY & VALIDITY: Ensure all tags are properly closed. Use single quotes for all attributes.<|im_end|>
<|im_start|>user
A black cup icon with a white cap, lid, and straw-like protrusion, featuring a white horizontal line near the top of the cup.<|im_end|>
<|im_start|>assistant
",<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 200 200' width='256' height='256'><path fill='' fill-opacity='1' filling='0' d='M119.57 11.21 C122.63 12.74 123.88 16.43 122.41 19.5 L122.36 19.59 L117.02 30.28 C133.57 36.51 145.75 51.63 147.75 69.82 C155.19 72.31 160.55 79.33 160.55 87.6 C160.55 97.44 152.97 105.5 143.34 106.29 L136.34 183.96 C136.05 187.18 133.35 189.65 130.12 189.65 L70.08 189.65 C66.85 189.65 64.14 187.18 63.85 183.96 L56.86 106.29 C47.22 105.5 39.65 97.44 39.65 87.6 C39.65 79.33 45.01 72.31 52.45 69.82 C55.08 45.85 75.41 27.21 100.1 27.21 C101.57 27.21 103.03 27.27 104.48 27.4 L111.19 14 C112.73 10.91 116.48 9.66 119.57 11.21 Z M141.8 81.36 L58.39 81.36 C54.94 81.36 52.15 84.15 52.15 87.6 C52.15 91.05 54.94 93.85 58.39 93.85 L141.8 93.85 C145.25 93.85 148.05 91.05 148.05 87.6 C148.05 84.15 145.25 81.36 141.8 81.36 Z'></path></svg><|im_end|>
